	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	1.0	0.75	0.8571	0.75	20.0
AMBIENCE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	3.0
AMBIENCE#GENERAL:NEGATIVE	0.75	0.75	0.75	0.6	5.0
DRINKS#PRICES:POSITIVE	0.0385	1.0	0.0741	0.0385	26.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	0.5	1.0	0.6667	0.5	2.0
DRINKS#QUALITY:POSITIVE	0.8	1.0	0.8889	0.8	5.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	1.0	1.0	1.0	1.0	3.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	1.0	1.0	1.0	1.0	1.0
FOOD#PRICES:POSITIVE	1.0	0.6	0.75	0.6	5.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#PRICES:NEGATIVE	0.5	1.0	0.6667	0.5	10.0
FOOD#QUALITY:POSITIVE	0.2808	0.9194	0.4302	0.274	208.0
FOOD#QUALITY:NEUTRAL	1.0	0.3333	0.5	0.3333	3.0
FOOD#QUALITY:NEGATIVE	0.7083	0.8947	0.7907	0.6538	26.0
FOOD#STYLE_OPTIONS:POSITIVE	0.5714	0.5	0.5333	0.3636	11.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.6667	0.5	0.5714	0.4	5.0
LOCATION#GENERAL:POSITIVE	0.6667	1.0	0.8	0.6667	3.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.7742	0.8	0.7869	0.6486	37.0
RESTAURANT#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#GENERAL:NEGATIVE	0.6364	0.7	0.6667	0.5	14.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.75	0.5	0.6	0.4286	7.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.3333	0.3333	0.3333	0.2	5.0
RESTAURANT#PRICES:POSITIVE	1.0	1.0	1.0	1.0	4.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
RESTAURANT#PRICES:NEGATIVE	1.0	0.25	0.4	0.25	4.0
SERVICE#GENERAL:POSITIVE	0.9375	0.75	0.8333	0.7143	21.0
SERVICE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE#GENERAL:NEGATIVE	0.9545	0.913	0.9333	0.875	24.0
Micro-AVG	0.4827	0.7769	0.5954	0.4239	460.0
Macro-AVG	0.4686	0.4859	0.4398		460
