	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5625	0.8182	0.6667	0.5	36.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.6444	0.8056	0.716	0.5577	52.0
FOOD:NEGATIVE	0.8143	0.75	0.7808	0.6404	89.0
FOOD:NEUTRAL	0.8	0.9231	0.8571	0.75	16.0
FOOD:POSITIVE	0.8829	0.8448	0.8634	0.7597	129.0
PRICE:NEGATIVE	0.7826	0.6667	0.72	0.5625	32.0
PRICE:NEUTRAL	1.0	0.5	0.6667	0.5	2.0
PRICE:POSITIVE	0.75	0.5	0.6	0.4286	7.0
GENERAL-IMPRESSION:NEGATIVE	0.8049	0.8462	0.825	0.7021	47.0
GENERAL-IMPRESSION:NEUTRAL	0.0	0.0	0.0	0.0	2.0
GENERAL-IMPRESSION:POSITIVE	0.8511	0.8163	0.8333	0.7143	56.0
SERVICE:NEGATIVE	0.8596	0.8596	0.8596	0.7538	65.0
SERVICE:NEUTRAL	1.0	1.0	1.0	1.0	2.0
SERVICE:POSITIVE	0.9259	0.6944	0.7937	0.6579	76.0
Micro-AVG	0.8167	0.79	0.8031	0.671	611.0
Macro-AVG	0.7119	0.6683	0.6788		611
