	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5893	0.8684	0.7021	0.541	61.0
AMBIENCE:NEUTRAL	0.125	0.5	0.2	0.1111	9.0
AMBIENCE:POSITIVE	0.699	0.8	0.7461	0.595	121.0
FOOD:NEGATIVE	0.7409	0.7606	0.7507	0.6008	238.0
FOOD:NEUTRAL	0.4066	0.925	0.5649	0.3936	94.0
FOOD:POSITIVE	0.8534	0.805	0.8285	0.7072	321.0
PRICE:NEGATIVE	0.8235	0.75	0.785	0.6462	65.0
PRICE:NEUTRAL	0.3889	0.7778	0.5185	0.35	20.0
PRICE:POSITIVE	1.0	0.5	0.6667	0.5	14.0
GENERAL-IMPRESSION:NEGATIVE	0.6736	0.9065	0.7729	0.6299	154.0
GENERAL-IMPRESSION:NEUTRAL	0.5	0.9	0.6429	0.4737	19.0
GENERAL-IMPRESSION:POSITIVE	0.6797	0.8739	0.7647	0.619	168.0
SERVICE:NEGATIVE	0.8254	0.6933	0.7536	0.6047	172.0
SERVICE:NEUTRAL	0.2	0.6667	0.3077	0.1818	11.0
SERVICE:POSITIVE	0.8859	0.7904	0.8354	0.7174	184.0
Micro-AVG	0.7301	0.7976	0.7624	0.616	1651.0
Macro-AVG	0.6261	0.7678	0.656		1651
