	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.7857	0.6471	0.7097	0.55	20.0
AMBIENCE:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
AMBIENCE:POSITIVE	0.8409	0.8043	0.8222	0.6981	53.0
FOOD:NEGATIVE	0.8481	0.8816	0.8645	0.7614	88.0
FOOD:NEUTRAL	1.0	0.6154	0.7619	0.6154	13.0
FOOD:POSITIVE	0.7113	0.8559	0.7769	0.6352	159.0
PRICE:NEGATIVE	0.7727	0.85	0.8095	0.68	25.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	3.0
PRICE:POSITIVE	0.625	1.0	0.7692	0.625	8.0
GENERAL-IMPRESSION:NEGATIVE	0.7692	0.7692	0.7692	0.625	48.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
GENERAL-IMPRESSION:POSITIVE	0.8605	0.7708	0.8132	0.6852	54.0
SERVICE:NEGATIVE	0.8966	0.8254	0.8595	0.7536	69.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.913	0.9	0.9065	0.8289	76.0
Micro-AVG	0.8117	0.8257	0.8186	0.6929	622.0
Macro-AVG	0.7015	0.7058	0.6886		622
