sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end
26	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .	Grilled Chicken special with Edamame Puree	food quality	positive	food quality positive	yes	9	15
26	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .	Grilled Chicken special with Edamame Puree	food quality	negative	food quality negative	no	0	0
26	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree .	Grilled Chicken special with Edamame Puree	food quality	neutral	food quality neutral	no	0	0
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	place	ambience general	positive	ambience general positive	no	0	0
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	place	ambience general	negative	ambience general negative	yes	36	37
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	place	ambience general	neutral	ambience general neutral	no	0	0
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	decor	ambience general	positive	ambience general positive	yes	2	3
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	decor	ambience general	negative	ambience general negative	no	0	0
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	decor	ambience general	neutral	ambience general neutral	no	0	0
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	vent	ambience general	positive	ambience general positive	no	0	0
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	vent	ambience general	negative	ambience general negative	yes	16	17
28	The decor is night tho . . . but they REALLY need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	vent	ambience general	neutral	ambience general neutral	no	0	0
52	The rice to fish ration was also good - - they didn 't try to overpack the rice .	rice to fish ration	food style_options	positive	food style_options positive	yes	2	6
52	The rice to fish ration was also good - - they didn 't try to overpack the rice .	rice to fish ration	food style_options	negative	food style_options negative	no	0	0
52	The rice to fish ration was also good - - they didn 't try to overpack the rice .	rice to fish ration	food style_options	neutral	food style_options neutral	no	0	0
73	The lava cake dessert was incredible and I recommend it .	lava cake dessert	food quality	positive	food quality positive	yes	2	5
73	The lava cake dessert was incredible and I recommend it .	lava cake dessert	food quality	negative	food quality negative	no	0	0
73	The lava cake dessert was incredible and I recommend it .	lava cake dessert	food quality	neutral	food quality neutral	no	0	0
90	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food style_options	positive	food style_options positive	yes	5	7
90	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food style_options	negative	food style_options negative	no	0	0
90	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food style_options	neutral	food style_options neutral	no	0	0
90	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food quality	positive	food quality positive	yes	5	7
90	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food quality	negative	food quality negative	no	0	0
90	My wife had the fried shrimp which are huge and loved it .	fried shrimp	food quality	neutral	food quality neutral	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	service	service general	positive	service general positive	yes	2	3
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	service	service general	negative	service general negative	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	service	service general	neutral	service general neutral	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	decor	ambience general	positive	ambience general positive	yes	7	8
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	decor	ambience general	negative	ambience general negative	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	decor	ambience general	neutral	ambience general neutral	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	food	food quality	positive	food quality positive	yes	13	14
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	food	food quality	negative	food quality negative	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	food	food quality	neutral	food quality neutral	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	portions	food style_options	positive	food style_options positive	yes	20	21
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	portions	food style_options	negative	food style_options negative	no	0	0
103	The service is excellent , the decor is great , and the food is delicious and comes in large portions .	portions	food style_options	neutral	food style_options neutral	no	0	0
127	Slightly on the pricey side but worth it !	NULL	restaurant prices	positive	restaurant prices positive	no	0	0
127	Slightly on the pricey side but worth it !	NULL	restaurant prices	negative	restaurant prices negative	yes	0	0
127	Slightly on the pricey side but worth it !	NULL	restaurant prices	neutral	restaurant prices neutral	no	0	0
127	Slightly on the pricey side but worth it !	NULL	restaurant general	positive	restaurant general positive	yes	0	0
127	Slightly on the pricey side but worth it !	NULL	restaurant general	negative	restaurant general negative	no	0	0
127	Slightly on the pricey side but worth it !	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
129	There was a small wait , but shorter than I expected .	wait	service general	positive	service general positive	yes	5	6
129	There was a small wait , but shorter than I expected .	wait	service general	negative	service general negative	no	0	0
129	There was a small wait , but shorter than I expected .	wait	service general	neutral	service general neutral	no	0	0
156	I take all my NYC guests to VT 's .	VT 's	restaurant miscellaneous	positive	restaurant miscellaneous positive	yes	8	10
156	I take all my NYC guests to VT 's .	VT 's	restaurant miscellaneous	negative	restaurant miscellaneous negative	no	0	0
156	I take all my NYC guests to VT 's .	VT 's	restaurant miscellaneous	neutral	restaurant miscellaneous neutral	no	0	0
193	Service was prompt and courteous .	Service	service general	positive	service general positive	yes	1	2
193	Service was prompt and courteous .	Service	service general	negative	service general negative	no	0	0
193	Service was prompt and courteous .	Service	service general	neutral	service general neutral	no	0	0
201	Wait staff is blantently unappreciative of your business but its the best pie on the UWS !	Wait staff	service general	positive	service general positive	no	0	0
201	Wait staff is blantently unappreciative of your business but its the best pie on the UWS !	Wait staff	service general	negative	service general negative	yes	1	3
201	Wait staff is blantently unappreciative of your business but its the best pie on the UWS !	Wait staff	service general	neutral	service general neutral	no	0	0
201	Wait staff is blantently unappreciative of your business but its the best pie on the UWS !	pie	food quality	positive	food quality positive	yes	13	14
201	Wait staff is blantently unappreciative of your business but its the best pie on the UWS !	pie	food quality	negative	food quality negative	no	0	0
201	Wait staff is blantently unappreciative of your business but its the best pie on the UWS !	pie	food quality	neutral	food quality neutral	no	0	0
210	We will return many times for this oasis in mid - town .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
210	We will return many times for this oasis in mid - town .	NULL	restaurant general	negative	restaurant general negative	no	0	0
210	We will return many times for this oasis in mid - town .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
287	Ingredients are organic which is a real plus for me .	Ingredients	food quality	positive	food quality positive	yes	1	2
287	Ingredients are organic which is a real plus for me .	Ingredients	food quality	negative	food quality negative	no	0	0
287	Ingredients are organic which is a real plus for me .	Ingredients	food quality	neutral	food quality neutral	no	0	0
302	We both opted for a pasta dish and they were served timely and fresh .	NULL	service general	positive	service general positive	yes	0	0
302	We both opted for a pasta dish and they were served timely and fresh .	NULL	service general	negative	service general negative	no	0	0
302	We both opted for a pasta dish and they were served timely and fresh .	NULL	service general	neutral	service general neutral	no	0	0
302	We both opted for a pasta dish and they were served timely and fresh .	pasta dish	food quality	positive	food quality positive	yes	6	8
302	We both opted for a pasta dish and they were served timely and fresh .	pasta dish	food quality	negative	food quality negative	no	0	0
302	We both opted for a pasta dish and they were served timely and fresh .	pasta dish	food quality	neutral	food quality neutral	no	0	0
343	And amazingly cheap .	NULL	food prices	positive	food prices positive	yes	0	0
343	And amazingly cheap .	NULL	food prices	negative	food prices negative	no	0	0
343	And amazingly cheap .	NULL	food prices	neutral	food prices neutral	no	0	0
426	We had a good time .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
426	We had a good time .	NULL	restaurant general	negative	restaurant general negative	no	0	0
426	We had a good time .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
438	Delivery is fast too .	Delivery	service general	positive	service general positive	yes	1	2
438	Delivery is fast too .	Delivery	service general	negative	service general negative	no	0	0
438	Delivery is fast too .	Delivery	service general	neutral	service general neutral	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	service	service general	positive	service general positive	yes	3	4
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	service	service general	negative	service general negative	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	service	service general	neutral	service general neutral	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	seating	service general	positive	service general positive	yes	6	7
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	seating	service general	negative	service general negative	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	seating	service general	neutral	service general neutral	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	Delivery	service general	positive	service general positive	yes	9	10
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	Delivery	service general	negative	service general negative	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	Delivery	service general	neutral	service general neutral	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	sushi	food quality	positive	food quality positive	yes	12	13
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	sushi	food quality	negative	food quality negative	no	0	0
439	Great friendly service , Fast seating , Fast Delivery , Excellent sushi .	sushi	food quality	neutral	food quality neutral	no	0	0
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	place	restaurant prices	positive	restaurant prices positive	no	0	0
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	place	restaurant prices	negative	restaurant prices negative	yes	2	3
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	place	restaurant prices	neutral	restaurant prices neutral	no	0	0
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	food	food quality	positive	food quality positive	yes	10	11
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	food	food quality	negative	food quality negative	no	0	0
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	food	food quality	neutral	food quality neutral	no	0	0
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	service	service general	positive	service general positive	no	0	0
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	service	service general	negative	service general negative	yes	17	18
500	This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .	service	service general	neutral	service general neutral	no	0	0
520	Will never be back .	NULL	restaurant general	positive	restaurant general positive	no	0	0
520	Will never be back .	NULL	restaurant general	negative	restaurant general negative	yes	0	0
520	Will never be back .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
523	the all - u - can - eat sushi is definitely in very poor quality .	all - u - can - eat sushi	food quality	positive	food quality positive	no	0	0
523	the all - u - can - eat sushi is definitely in very poor quality .	all - u - can - eat sushi	food quality	negative	food quality negative	yes	2	10
523	the all - u - can - eat sushi is definitely in very poor quality .	all - u - can - eat sushi	food quality	neutral	food quality neutral	no	0	0
527	wont come back again for sure !	NULL	restaurant general	positive	restaurant general positive	no	0	0
527	wont come back again for sure !	NULL	restaurant general	negative	restaurant general negative	yes	0	0
527	wont come back again for sure !	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
547	Chennai Garden is my favorite Indian restaurant in the city .	Chennai Garden	restaurant general	positive	restaurant general positive	yes	1	3
547	Chennai Garden is my favorite Indian restaurant in the city .	Chennai Garden	restaurant general	negative	restaurant general negative	no	0	0
547	Chennai Garden is my favorite Indian restaurant in the city .	Chennai Garden	restaurant general	neutral	restaurant general neutral	no	0	0
557	Food is excellent .	Food	food quality	positive	food quality positive	yes	1	2
557	Food is excellent .	Food	food quality	negative	food quality negative	no	0	0
557	Food is excellent .	Food	food quality	neutral	food quality neutral	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	food	food quality	positive	food quality positive	yes	2	3
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	food	food quality	negative	food quality negative	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	food	food quality	neutral	food quality neutral	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	halibut special	food quality	positive	food quality positive	yes	9	11
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	halibut special	food quality	negative	food quality negative	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	halibut special	food quality	neutral	food quality neutral	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	steak	food quality	positive	food quality positive	yes	15	16
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	steak	food quality	negative	food quality negative	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	steak	food quality	neutral	food quality neutral	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	service	service general	positive	service general positive	yes	20	21
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	service	service general	negative	service general negative	no	0	0
569	The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .	service	service general	neutral	service general neutral	no	0	0
603	Service is average .	Service	service general	positive	service general positive	no	0	0
603	Service is average .	Service	service general	negative	service general negative	no	0	0
603	Service is average .	Service	service general	neutral	service general neutral	yes	1	2
653	This place is really trendi but they have forgotten about the most important part of a restaurant , the food .	food	food quality	positive	food quality positive	no	0	0
653	This place is really trendi but they have forgotten about the most important part of a restaurant , the food .	food	food quality	negative	food quality negative	yes	20	21
653	This place is really trendi but they have forgotten about the most important part of a restaurant , the food .	food	food quality	neutral	food quality neutral	no	0	0
653	This place is really trendi but they have forgotten about the most important part of a restaurant , the food .	place	ambience general	positive	ambience general positive	yes	2	3
653	This place is really trendi but they have forgotten about the most important part of a restaurant , the food .	place	ambience general	negative	ambience general negative	no	0	0
653	This place is really trendi but they have forgotten about the most important part of a restaurant , the food .	place	ambience general	neutral	ambience general neutral	no	0	0
661	I will definetly be going back .	NULL	restaurant general	positive	restaurant general positive	yes	0	0
661	I will definetly be going back .	NULL	restaurant general	negative	restaurant general negative	no	0	0
661	I will definetly be going back .	NULL	restaurant general	neutral	restaurant general neutral	no	0	0
676	Also very inexpensive .	NULL	restaurant prices	positive	restaurant prices positive	yes	0	0
676	Also very inexpensive .	NULL	restaurant prices	negative	restaurant prices negative	no	0	0
676	Also very inexpensive .	NULL	restaurant prices	neutral	restaurant prices neutral	no	0	0
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	sushi	food quality	positive	food quality positive	yes	6	7
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	sushi	food quality	negative	food quality negative	no	0	0
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	sushi	food quality	neutral	food quality neutral	no	0	0
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	ceviche mix ( special )	food quality	positive	food quality positive	yes	17	22
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	ceviche mix ( special )	food quality	negative	food quality negative	no	0	0
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	ceviche mix ( special )	food quality	neutral	food quality neutral	no	0	0
679	We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .	crab dumplings	food quality	positive	food quality positive	yes	23	25
