Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.	FOOD#1	PRICE#-1
Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut).	FOOD#-1	FOOD#-1
Das Kartoffelgratin war ebenfalls von trockener Konsistenz.	FOOD#-1
Ich hatte am 10.07.2023 meinen Geburtstag in der RESTAURANT_NAME gefeiert, die Kellner waren sehr aufmerksam und das Essen ein Traum, ich kann es nur weiterempfehlen.	SERVICE#1	FOOD#1	GENERAL-IMPRESSION#1
Unsere Reservierung wurde verplant.	SERVICE#-1
Man bekommt nicht mal das Essen was bestellt wurde.	SERVICE#-1
Die Gamba waren kalt und kaum aus der Schale zu lösen.	FOOD#-1
Wir sind ganz zufällig dort gelandet und waren begeistert.	GENERAL-IMPRESSION#1
So einen schlechten Service hatten wir noch nicht erlebt.	SERVICE#-1
!Einziger Abzug: Sauberkeit der Toiletten…	AMBIENCE#-1
Klassische Gerichte modern angerichtet.	FOOD#1
Als wir bezahleenn wollten, war sie auch wieder nicht auffindbar, dann bekamen wir endlich die Rechnung und sie war wieder weg, bis wir dann endlich bezahlen konnten.	SERVICE#-1
Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!	FOOD#1
Wir fühlten uns sehr gestört und unwohl.	AMBIENCE#-1
Ein sehr gemütliches italienisches Restaurant mit Flair und fleißigem Personal.	AMBIENCE#1	SERVICE#1
Ich habe schon deutlich besser gegessen und nur die Hälfte bezahlt.	PRICE#-1	FOOD#-1
Allerdings mussten wir noch weitere 30 Minuten bis zur Lieferung warten.	SERVICE#-1
Niemand war zuständig.	SERVICE#-1
Schade.	GENERAL-IMPRESSION#-1
LOC, tolles Essen, und nette Bedienung.	FOOD#1	SERVICE#1
Leider hat die Qualität massiv nachgelassen und der Preis 7,10€ hat sich fast verdoppelt, die haben wohl den Knall nicht gehört und denn rennen einen die Ratten am Stand fast über die Füße ,das geht gar nicht.	FOOD#-1	GENERAL-IMPRESSION#-1
Ich bin sehr enttäuscht und komme nicht wieder.	GENERAL-IMPRESSION#-1
Hatte ein sehniges Teil was nicht zu kauen war die anderen Gerichte waren akzeptabel aber nichts besonderes	FOOD#0	FOOD#-1
Ambiente toll , Essen überpreist und das man der Stiefmutter gratuliert ohne was zu hinterfragen ist schon sehr schmerzhaft .. brauch ich nicht nochmal .	AMBIENCE#1	PRICE#-1
Ein rundum leckerer Abend.	FOOD#1
Kommen immer gerne wieder nur zu empfehlen:)	GENERAL-IMPRESSION#1
Der Service ist sehr zuvorkommend und überaus freundlich.	SERVICE#1
Muss nicht sein, kann aber.	GENERAL-IMPRESSION#0
Sehr schöne Atmosphäre, guter Hauswein, freundliches Personal, haben nur was getrunken, daher kann ich Essen nicht beurteilen.	AMBIENCE#1	FOOD#1	SERVICE#1
Die Kellner sind arrogant und respektlos!	SERVICE#-1
Essen war mittelmäßig, Preise Düsseldorfer Niveau	FOOD#0	PRICE#0
Nie wieder.	GENERAL-IMPRESSION#-1
Kompliment an das Team in der Küche.	SERVICE#1
Sehr aufmerksame Mitarbeiter und das Essen wirklich in sehr guter Qualität.	SERVICE#1	FOOD#1
Eingekehrt, Sauerbraten bestellt, extrem humorvoller Köbes, Spaß gehabt, geschmackvolle und große Portionen bekommen.	SERVICE#1	FOOD#1
Essen war wie immer top, jedoch bei den LOC habe ich den Ziegenkäsegeschmack des Ziegenkäses vermisst.	FOOD#1	FOOD#-1
Super leckeres Essen mit einer spannenden Auswahl an Gerichten.	FOOD#1	FOOD#1
Die Toiletten waren sehr sauber.	AMBIENCE#1
Kommen immer gerne wieder hier her und das schon eine sehr sehr lange Zeit und haben bis heute keinen Tag bereut den wir hier waren.	GENERAL-IMPRESSION#1
Und heute -September 2023 haben wir auch gleiches bestellt,ist volle Enttäuschung -die Bratwürste sind um 2-3 cm kürzer geworden und Kartoffelsalat-wie Wassersuppe auch geschmacklos.	FOOD#-1	FOOD#-1	FOOD#-1
Zudem war alles sehr überteuert, da hätten wir wenigstens etwas mehr Entgegenkommen erwartet.	PRICE#-1	SERVICE#-1
ein wirklich tolles Restaurant.	GENERAL-IMPRESSION#1
Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!	FOOD#1
Macht weiter so.	GENERAL-IMPRESSION#1
Alles in allem: absolute Empfehlung, gerne wieder.	GENERAL-IMPRESSION#1
Zubereitung auf den Punkt und ansprechend serviert.	FOOD#1
Ach ne, Pampe war das seltsame Sauerkraut.	FOOD#-1
LOC Bedienung, lange Wartezeit am Tisch.	SERVICE#-1
Es gab einen Gruß aus der Küche vorweg und dann ein zartes Steak zum Fairen Preis.	FOOD#1	PRICE#1
Riesige Räume mit schlechter Belüftung.	AMBIENCE#-1
Hätten wir mehr Zeit gehabt wären die Spätzle und der Ziegenkäse mit Salat sofort wieder in die Küche zurückgegangen.	FOOD#-1	FOOD#-1
Es lag nicht an den einzelnen Kellnern, sondern an der (offensichtlich gewollten) Unterbesetzung im Service.	SERVICE#-1
Trotzdem ist es immer einen Besuch wert	GENERAL-IMPRESSION#1
Problematisches P/L-Verhältnis bei den 6 "fine de claires"-Austern (19,50€), weder geschmacklich noch von der Substanz befriedigend, da winzig; dem "Loup de mer" (26,90€) fehlte der Saft, er wirkte trocken und war im Übrigen ein Grätenmonster, der Spinat wirkte geschmacksneutral, die Bratkartoffeln waren deutlich zu kurz gebraten, kaum Bräunung.	PRICE#-1	FOOD#-1	FOOD#-1	FOOD#-1	FOOD#-1
Nie wieder.	GENERAL-IMPRESSION#-1
Leider ein enttäuschenden Abend .	GENERAL-IMPRESSION#-1
Die Gaststätte ist sehr gemütlich und hat den Charme, den man sich bei Oma vorstellt.	AMBIENCE#1	AMBIENCE#1
Aber Fernet Branca aus einem Grappaglas, das ist Stilbruch.	FOOD#-1
Noch nie so reingelegt worden.	GENERAL-IMPRESSION#-1
Das Essen ist zwar etwas teurer als sonst beim LOC, aber auch um mindestens 2 Klassen besser.	FOOD#1
