	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.619	0.5	0.5532	0.3824	34.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	1.0	0.4	0.5714	0.4	5.0
DRINKS#STYLE_OPTIONS	1.0	0.75	0.8571	0.75	4.0
FOOD#PRICES	0.4286	0.3	0.353	0.2143	14.0
FOOD#QUALITY	0.8154	0.631	0.7114	0.5521	96.0
FOOD#STYLE_OPTIONS	0.3333	0.2308	0.2727	0.1579	19.0
LOCATION#GENERAL	0.5	0.6667	0.5714	0.4	5.0
RESTAURANT#GENERAL	0.9545	0.5122	0.6667	0.5	42.0
RESTAURANT#MISCELLANEOUS	0.5	0.1	0.1667	0.0909	11.0
RESTAURANT#PRICES	1.0	0.2222	0.3636	0.2222	9.0
SERVICE#GENERAL	0.9143	0.7273	0.8101	0.6809	47.0
Micro-AVG	0.7874	0.5458	0.6447	0.4757	288.0
Macro-AVG	0.7554	0.5033	0.5748		288
