After all that, they complained to me about the small tip.	SERVICE#GENERAL#-1
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	FOOD#QUALITY#1
The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	AMBIENCE#GENERAL#-1	AMBIENCE#GENERAL#1	AMBIENCE#GENERAL#-1
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!	SERVICE#GENERAL#1
The rice to fish ration was also good--they didn't try to overpack the rice.	FOOD#STYLE_OPTIONS#1
The lava cake dessert was incredible and I recommend it.	FOOD#QUALITY#1
I think I've had some the best meals of my life at minnow.	FOOD#QUALITY#1
Worth the trip from Manhattan.	RESTAURANT#GENERAL#1
My wife had the fried shrimp which are huge and loved it.	FOOD#STYLE_OPTIONS#1	FOOD#QUALITY#1
This is by far my favorite place in the neighborhood.	RESTAURANT#GENERAL#1
The service is excellent, the decor is great, and the food is delicious and comes in large portions.	SERVICE#GENERAL#1	AMBIENCE#GENERAL#1	FOOD#QUALITY#1	FOOD#STYLE_OPTIONS#1
Make sure you try this place as often as you can.	RESTAURANT#GENERAL#1
Slightly on the pricey side but worth it!	RESTAURANT#PRICES#-1	RESTAURANT#GENERAL#1
There was a small wait, but shorter than I expected.	SERVICE#GENERAL#1
I take all my NYC guests to VT's.	RESTAURANT#MISCELLANEOUS#1
Stepped on my foot on the SECOND time he reached over me to adjust lighting.	SERVICE#GENERAL#-1
Inside is a little cramped, but to be expected.	AMBIENCE#GENERAL#0
Service was prompt and courteous.	SERVICE#GENERAL#1
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!	SERVICE#GENERAL#-1	FOOD#QUALITY#1
Over 100 different choices to create your own.	FOOD#STYLE_OPTIONS#1
We will return many times for this oasis in mid-town.	RESTAURANT#GENERAL#1
Worth visiting the 1st Ave spot because it is the original store.	RESTAURANT#MISCELLANEOUS#1
We had a great time at the Jekyll and hyde Pub last night.	RESTAURANT#GENERAL#1
I will be going back very soon.	RESTAURANT#GENERAL#1
Ingredients are organic which is a real plus for me.	FOOD#QUALITY#1
We both opted for a pasta dish and they were served timely and fresh.	SERVICE#GENERAL#1	FOOD#QUALITY#1
Pizza is terrific, as is homemade pasta.	FOOD#QUALITY#1	FOOD#QUALITY#1
Ambience is delightful, service impeccable.	AMBIENCE#GENERAL#1	SERVICE#GENERAL#1
I'm still mad that i had to pay for lousy food.	FOOD#QUALITY#-1
This is my first time writing a review for a restaurant because the food and service was excellent.	FOOD#QUALITY#1	SERVICE#GENERAL#1
And amazingly cheap.	FOOD#PRICES#1
However, I think this place is a good hang out spot.	AMBIENCE#GENERAL#1
Skip this restaurant, it's a big disappointment.	RESTAURANT#GENERAL#-1
Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.	RESTAURANT#GENERAL#1
This place is so much fun.	AMBIENCE#GENERAL#1
We had a good time.	RESTAURANT#GENERAL#1
Delivery is fast too.	SERVICE#GENERAL#1
Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	SERVICE#GENERAL#1	SERVICE#GENERAL#1	SERVICE#GENERAL#1	FOOD#QUALITY#1
Highly recommended to all!	RESTAURANT#GENERAL#1
Prices too high for this cramped and unappealing resturant.	RESTAURANT#PRICES#-1	AMBIENCE#GENERAL#-1
If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.	FOOD#QUALITY#1	FOOD#QUALITY#1	FOOD#QUALITY#1
I go twice a month!	RESTAURANT#GENERAL#1
