	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.75	0.4615	0.5714	0.4	30.0
DRINKS#PRICES	1.0	0.5	0.6667	0.5	2.0
DRINKS#QUALITY	0.5	0.2	0.2857	0.1667	6.0
DRINKS#STYLE_OPTIONS	0.6667	0.5	0.5714	0.4	5.0
FOOD#PRICES	1.0	0.1	0.1818	0.1	10.0
FOOD#QUALITY	0.9464	0.631	0.7572	0.6092	87.0
FOOD#STYLE_OPTIONS	0.6667	0.1538	0.2499	0.1429	14.0
LOCATION#GENERAL	1.0	0.6667	0.8	0.6667	3.0
RESTAURANT#GENERAL	0.7021	0.8049	0.75	0.6	55.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.5714	0.4444	0.5	0.3333	12.0
SERVICE#GENERAL	0.9062	0.6591	0.7631	0.617	47.0
Micro-AVG	0.8235	0.5578	0.6651	0.4982	281.0
Macro-AVG	0.7258	0.4268	0.5081		281
