	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.625	0.3846	0.4762	0.3125	32.0
DRINKS#PRICES	1.0	0.5	0.6667	0.5	2.0
DRINKS#QUALITY	0.5	0.2	0.2857	0.1667	6.0
DRINKS#STYLE_OPTIONS	0.6667	0.5	0.5714	0.4	5.0
FOOD#PRICES	0.0	0.0	0.0	0.0	11.0
FOOD#QUALITY	0.7857	0.5238	0.6286	0.4583	96.0
FOOD#STYLE_OPTIONS	0.6667	0.1538	0.2499	0.1429	14.0
LOCATION#GENERAL	0.5	0.3333	0.4	0.25	4.0
RESTAURANT#GENERAL	0.3191	0.3659	0.3409	0.2055	73.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.1429	0.1111	0.125	0.0667	15.0
SERVICE#GENERAL	0.5625	0.4091	0.4737	0.3103	58.0
Micro-AVG	0.5588	0.3785	0.4513	0.2914	326.0
Macro-AVG	0.4807	0.2901	0.3515		326
