id,raw_text,aspectTerms
54,"Ansonsten will ich zugute halten, dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind.","[{'term': 'Preise', 'polarity': 'positive'}]"
80,Der LOC bekommt von uns eine sehr gute Bewertung.,"[{'term': 'LOC', 'polarity': 'positive'}]"
135,Einfaches Restaurant mit schlechten Service und kaum glutenfreie Speisen.,"[{'term': 'Speisen', 'polarity': 'negative'}, {'term': 'Service', 'polarity': 'negative'}]"
145,Wir saßen in der ersten Etage - ein wunderbarer Raum.,"[{'term': 'Raum', 'polarity': 'positive'}]"
178,"Und unschön, dass das den Ober überhaupt nicht interessiert hat 👎","[{'term': 'Ober', 'polarity': 'negative'}]"
180,Das Essen kommt im Minutentakt und ist gerade noch mittelmäßig.,"[{'term': 'Essen', 'polarity': 'neutral'}]"
185,LOC durchschnittlich.,"[{'term': 'LOC', 'polarity': 'neutral'}]"
195,"Gute Lage, angenehme Bedienung, gutes Essen.","[{'term': 'Lage', 'polarity': 'positive'}, {'term': 'Bedienung', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}]"
208,Ein stolzer Preis sollte sich mit einem Stolzen Essen decken!,"[{'term': 'Preis', 'polarity': 'negative'}, {'term': 'Essen', 'polarity': 'positive'}]"
213,Leider war der Schweinebraten zum Teil sehr trocken und ungenießbar.,"[{'term': 'Schweinebraten', 'polarity': 'negative'}]"
243,"Riesen Laden, Bier und Essen schmecken, Service auch nicht schlecht.","[{'term': 'Bier', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}, {'term': 'Service', 'polarity': 'neutral'}]"
247,Ich habe den Salat reklamiert und nach anfänglicher unverschämter Aussage des Bedienungspersonals bekam ich einen neuen Salat.,"[{'term': 'Bedienungspersonals', 'polarity': 'negative'}]"
259,"also nicht mal 2 Punkte, Bedienung war freundlich.....aber seit 2 Tagen Magen-Darm Verstimmung....teuer und schlecht","[{'term': 'Bedienung', 'polarity': 'positive'}]"
296,"Dieses Restaurant bietet eine köstliche Auswahl an klassischen Gerichten, von denen jedes vor Geschmack strotzt.","[{'term': 'Gerichten', 'polarity': 'positive'}]"
304,Brandy rundeten diesen einmaligen Abend ab.,"[{'term': 'Brandy', 'polarity': 'positive'}]"
324,Leider war der Hauptgang Rinderfilet so zäh und durchwachsen dass dies den guten Gesamteindruck nachhaltig beschädigt hat.,"[{'term': 'Rinderfilet', 'polarity': 'negative'}]"
