Judging from previous posts this used to be a good place, but not any longer.	RESTAURANT#GENERAL#-1
We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	SERVICE#GENERAL#-1
And I hate to say this but I doubt I'll ever go back. 	RESTAURANT#GENERAL#-1
we love th pink pony.	RESTAURANT#GENERAL#1
Food-awesome.	FOOD#QUALITY#1
Ambiance- relaxed and stylish.	AMBIENCE#GENERAL#1
The sushi seemed pretty fresh and was adequately proportioned.	FOOD#QUALITY#1	FOOD#STYLE_OPTIONS#1
Decent wine at reasonable prices.	DRINKS#QUALITY#0	DRINKS#PRICES#1
The food was bland oily.	FOOD#QUALITY#-1
I will be back!	RESTAURANT#GENERAL#1
The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .	AMBIENCE#GENERAL#0	RESTAURANT#PRICES#1
Have recommended the place to friends, always gets good response.	RESTAURANT#MISCELLANEOUS#1
Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!	LOCATION#GENERAL#1	FOOD#QUALITY#1
Such a disappointment...	SERVICE#GENERAL#-1
Prices are in line.	RESTAURANT#PRICES#0
Also, because it is so thin, it gets cold very quickly and its not that filling.	FOOD#QUALITY#-1	FOOD#STYLE_OPTIONS#-1
A must try!	RESTAURANT#GENERAL#1
It's simply the best meal in NYC.	FOOD#QUALITY#1
I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	FOOD#QUALITY#1	AMBIENCE#GENERAL#1	SERVICE#GENERAL#1
There's nice and quiet, small but enough for 6 (or more).	AMBIENCE#GENERAL#1
Big Wong gets big Ups for a fine establishment.	RESTAURANT#GENERAL#1
The food is prepared quickly and efficiently.	SERVICE#GENERAL#1
The takeout is great too since they give high quality tupperware as well.	SERVICE#GENERAL#1
Right off the L in Brooklyn this is a nice cozy place with good pizza.	FOOD#QUALITY#1	AMBIENCE#GENERAL#1
I started out with a Bombay beer which was big enough for two.	DRINKS#STYLE_OPTIONS#1
MMmmm... it was delicious.	FOOD#QUALITY#1
Service was also horrible and the ambience is not that great.	SERVICE#GENERAL#-1	AMBIENCE#GENERAL#-1
Big thumbs up!	RESTAURANT#GENERAL#1
The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.	AMBIENCE#GENERAL#-1	FOOD#STYLE_OPTIONS#0	DRINKS#PRICES#-1
To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	FOOD#QUALITY#1	RESTAURANT#GENERAL#-1
The wine list is excellent.	DRINKS#STYLE_OPTIONS#1
The menu is very limited - i think we counted 4 or 5 entrees.	FOOD#STYLE_OPTIONS#-1
