sentence_id	yes_no	aspect_sentiment	sentence	ner_tags
8	1	service positive	Das Personal war wirklich sehr nett .	O T O O O O O
8	0	service negative	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	service neutral	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	general-impression positive	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	general-impression negative	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	general-impression neutral	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	price positive	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	price negative	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	price neutral	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	food positive	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	food negative	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	food neutral	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	ambience positive	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	ambience negative	Das Personal war wirklich sehr nett .	O O O O O O O
8	0	ambience neutral	Das Personal war wirklich sehr nett .	O O O O O O O
20	0	service positive	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	1	service negative	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O T O O O O O O O O O O O O O O
20	0	service neutral	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	general-impression positive	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	general-impression negative	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	general-impression neutral	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	price positive	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	price negative	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	price neutral	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	food positive	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	food negative	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	food neutral	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	ambience positive	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	ambience negative	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
20	0	ambience neutral	Alle Kellner völlig überfordert und das sieht man ihnen mehr als man will an ! !	O O O O O O O O O O O O O O O O
24	0	service positive	Was ganz besonderes in LOC .	O O O O O O
24	0	service negative	Was ganz besonderes in LOC .	O O O O O O
24	0	service neutral	Was ganz besonderes in LOC .	O O O O O O
24	1	general-impression positive	Was ganz besonderes in LOC .	O O O O O O
24	0	general-impression negative	Was ganz besonderes in LOC .	O O O O O O
24	0	general-impression neutral	Was ganz besonderes in LOC .	O O O O O O
24	0	price positive	Was ganz besonderes in LOC .	O O O O O O
24	0	price negative	Was ganz besonderes in LOC .	O O O O O O
24	0	price neutral	Was ganz besonderes in LOC .	O O O O O O
24	0	food positive	Was ganz besonderes in LOC .	O O O O O O
24	0	food negative	Was ganz besonderes in LOC .	O O O O O O
24	0	food neutral	Was ganz besonderes in LOC .	O O O O O O
24	0	ambience positive	Was ganz besonderes in LOC .	O O O O O O
24	0	ambience negative	Was ganz besonderes in LOC .	O O O O O O
24	0	ambience neutral	Was ganz besonderes in LOC .	O O O O O O
25	0	service positive	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	service negative	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	service neutral	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	general-impression positive	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	general-impression negative	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	general-impression neutral	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	price positive	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	1	price negative	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O T O O O O O O O O O O T O O O
25	0	price neutral	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	food positive	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	food negative	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	food neutral	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25	0	ambience positive	Das Trinkgeld steht aber mit auf dem Kassenbon . . . Auf alle Faelle sind die Preise ein echter Hammer - 4 , 20 EUR fuer einen Tee ist schon dekadent	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
