	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9	0.6429	0.75	0.6	15.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	3.0
FOOD#PRICES	0.5	0.4	0.4444	0.2857	7.0
FOOD#QUALITY	0.7442	0.8	0.7711	0.6275	51.0
FOOD#STYLE_OPTIONS	0.2	0.1429	0.1667	0.0909	11.0
LOCATION#GENERAL	0.5	0.5	0.5	0.3333	3.0
RESTAURANT#GENERAL	0.6667	0.5714	0.6154	0.4444	27.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	9.0
RESTAURANT#PRICES	0.25	0.2	0.2222	0.125	8.0
SERVICE#GENERAL	0.6957	0.7273	0.7111	0.5517	29.0
Micro-AVG	0.6695	0.6077	0.6371	0.4675	169.0
Macro-AVG	0.5936	0.4987	0.529		169
