id,raw_text,aspectTerms
2,Der Burger total durchgebraten und trocken.,"[{'term': 'Burger', 'polarity': 'negative'}]"
6,Der Kellner läuft planlos durch die Gegend und wirkt überfordert.,"[{'term': 'Kellner', 'polarity': 'negative'}]"
9,"Für das Essen 5 von 5 Sternen- war lecker und reichlich, Preislich etwas angehoben.","[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
34,Mein Rollo war so ungewürzt … unsere Freunde ließen eine Pfannen-Spezialität des Hauses nach der Hälfte stehen (sonst sei dieses Gericht wirklich gut).,"[{'term': 'Rollo', 'polarity': 'negative'}, {'term': 'Pfannen-Spezialität', 'polarity': 'negative'}]"
40,Das LOC ist sehr zu empfehlen und war perfekt Medium Rare.,"[{'term': 'LOC', 'polarity': 'positive'}]"
59,Die Platte mit Sushi hervorragend!,"[{'term': 'Platte mit Sushi', 'polarity': 'positive'}]"
66,"Wir waren angenehm davon überrascht, was uns geboten wurde.","[{'term': 'noaspectterm', 'polarity': 'positive'}]"
75,"Der sehr forsche, eher unfreundliche Service rundet das Erlebnis nach unten ab.","[{'term': 'Service', 'polarity': 'negative'}, {'term': 'noaspectterm', 'polarity': 'negative'}]"
76,"Ansonsten will ich zugute halten, dass eure Preise im Vergleich zu anderen Lokalen wirklich stabil geblieben sind.","[{'term': 'Preise', 'polarity': 'positive'}]"
81,Wir waren an 2 Abende in dieser netten Location und haben mitnetten Freunden ein hervorragendes Menü gegessen.,"[{'term': 'Menü', 'polarity': 'positive'}, {'term': 'Location', 'polarity': 'positive'}]"
85,Uns hat es allen bestens geschmeckt.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
88,Das Kartoffelgratin war ebenfalls von trockener Konsistenz.,"[{'term': 'Kartoffelgratin', 'polarity': 'negative'}]"
90,"An der LOC muss noch gefeilt werden, aber alles andere war sehr lecker.","[{'term': 'noaspectterm', 'polarity': 'positive'}, {'term': 'LOC', 'polarity': 'negative'}]"
92,"Ich hatte am 10.07.2023 meinen Geburtstag in der RESTAURANT_NAME gefeiert, die Kellner waren sehr aufmerksam und das Essen ein Traum, ich kann es nur weiterempfehlen.","[{'term': 'Kellner', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
99,"Aus Spaß habe ich auch einmal in den großen Speisesaal geschaut, in welchem schon ein relativ hoher Lärmpegel herrscht.","[{'term': 'Lärmpegel', 'polarity': 'negative'}, {'term': 'Speisesaal', 'polarity': 'negative'}]"
104,"Der Kellner war unfreundlich, langsam und hat uns auch einmal angebrüllt weil wir mehr Alt wollten.","[{'term': 'Kellner', 'polarity': 'negative'}]"
107,"Die Bedienung ist ne Perle (danke, Desiree), das Essen war erstklassig, lecker und reichlich, war ein toller früher Silvesterabend.","[{'term': 'Bedienung', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}]"
111,"Ein sehr freundlicher Service, Essen qualitativ ausgezeichnet!","[{'term': 'Service', 'polarity': 'positive'}, {'term': 'Essen', 'polarity': 'positive'}]"
114,"Totaler Massenbetrieb, macht kein Spass zwischen LOC gesehen dabei zu sein.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
124,Portion direkt bestellt) mit leckeren Knödel.,"[{'term': 'Knödel', 'polarity': 'positive'}]"
125,Suppe lauwarm/ wurde aber aufgewärmt war dann gut und lecker.,"[{'term': 'Suppe', 'polarity': 'positive'}]"
131,Das Essen und der Service war ausgesprochen gut.,"[{'term': 'Essen', 'polarity': 'positive'}, {'term': 'Service', 'polarity': 'positive'}]"
132,Unsere Reservierung wurde verplant.,"[{'term': 'Reservierung', 'polarity': 'negative'}]"
141,Das Personal war sehr freundlich.,"[{'term': 'Personal', 'polarity': 'positive'}]"
154,Absolut schlechte Küche!,"[{'term': 'Küche', 'polarity': 'negative'}]"
159,"Gut es war ziemlich voll und somit war alles etwas gestresst, aber unser Kellner war höflich und bemüht.","[{'term': 'noaspectterm', 'polarity': 'negative'}, {'term': 'Kellner', 'polarity': 'positive'}]"
163,Schade!,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
175,"Wir waren heute zum zweiten Mal da, das erste Mal war wirklich traumhaft.","[{'term': 'noaspectterm', 'polarity': 'positive'}]"
178,Das Ambiente war dementsprechend durchschnittlich und die Umgebungsgeräusche sehr laut.,"[{'term': 'Ambiente', 'polarity': 'neutral'}, {'term': 'Umgebungsgeräusche', 'polarity': 'negative'}]"
180,Man bekommt nicht mal das Essen was bestellt wurde.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
201,"Neben den langen Wartezeiten, bekamen wir ein Trinkglas mit Sprung, was wir frühzeitig genug bemerkten.","[{'term': 'Wartezeiten', 'polarity': 'negative'}]"
204,"Auf Nachfrage war vom ersten Kellner die Antwort ""Das muss so sein"", der 2te wenigstens in die Küche und ja man würde das Ausbessern intern, der 2 Sterne Koche in der küche aber ja wisse was er tut (Wenn das wahr wäre, kenne ich Hinterhofköche die keine verbrannten Produkte raus schicken, heiß servieren oder in Jus ersäufen).","[{'term': 'Produkte', 'polarity': 'negative'}]"
214,Die Gamba waren kalt und kaum aus der Schale zu lösen.,"[{'term': 'Gamba', 'polarity': 'negative'}]"
222,Wir sind ganz zufällig dort gelandet und waren begeistert.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
224,Das ist für so ein Restaurant ein Unding.,"[{'term': 'Restaurant', 'polarity': 'negative'}]"
234,Hier waren wir nach einem Konzert in der LOC und es hat uns sehr gut gefallen.,"[{'term': 'LOC', 'polarity': 'positive'}]"
256,So einen schlechten Service hatten wir noch nicht erlebt.,"[{'term': 'Service', 'polarity': 'negative'}]"
277,!Einziger Abzug: Sauberkeit der Toiletten…,"[{'term': 'Sauberkeit der Toiletten', 'polarity': 'negative'}]"
279,"Die Haxe war trocken und faserig, die Kruste hätte man mit dem Presslufthammer bearbeiten müssen, um sie zu zerteilen.","[{'term': 'Haxe', 'polarity': 'negative'}]"
285,"Der Service ist ok, man kennt die Gerichte und wird gut beraten.","[{'term': 'Service', 'polarity': 'neutral'}, {'term': 'noaspectterm', 'polarity': 'positive'}]"
290,"Sensationelle Aussicht, schönes Ambiente, nettes Personal.","[{'term': 'Personal', 'polarity': 'positive'}, {'term': 'Ambiente', 'polarity': 'positive'}, {'term': 'Aussicht', 'polarity': 'positive'}]"
297,Klassische Gerichte modern angerichtet.,"[{'term': 'Gerichte', 'polarity': 'positive'}]"
303,"Als wir bezahleenn wollten, war sie auch wieder nicht auffindbar, dann bekamen wir endlich die Rechnung und sie war wieder weg, bis wir dann endlich bezahlen konnten.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
304,Sehr sehr gut die Vorspeise „Gefüllte Riesenchampignons“!,"[{'term': 'Gefüllte Riesenchampignons', 'polarity': 'positive'}]"
308,"Salate waren ok, mehr auch nicht.","[{'term': 'Salate', 'polarity': 'neutral'}]"
327,Wir haben über eine Stunde auf unser Essen warten müssen.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
333,War nichts.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
334,Insgesamt eher unterer Durchschnitt bei den örtlichen LOC.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
335,"Der Lachs war gut, auf den Punkt gegrillt, daran gab es nicht auszusetzen!","[{'term': 'Lachs', 'polarity': 'positive'}]"
343,Gute Qualität der Speisen und der Empfehlungen.,"[{'term': 'Speisen', 'polarity': 'positive'}]"
344,Als Hauptgericht war haben ein Steinbutt bestellt aber der Fish der serviert wurde hatte vielleicht mal ein Steinbutt von weitem gesehen.,"[{'term': 'Fish', 'polarity': 'negative'}]"
351,"Die ""Getrüffelte Kürbissuppe"" bestand darin, dass man statt dem üblichen LOC Kürbiskernöl einfach nur getrüffeltes Öl auf die Suppe geträufelt hatte.","[{'term': 'Getrüffelte Kürbissuppe', 'polarity': 'negative'}, {'term': 'getrüffeltes Öl', 'polarity': 'negative'}]"
352,"Die positiven Bewertungen überraschen,wir werden wahrscheinlich nie wieder hingehen.","[{'term': 'noaspectterm', 'polarity': 'negative'}]"
381,Wir waren hier essen und mit der Qualität des Essens wirklich super zufrieden.,"[{'term': 'Essens', 'polarity': 'positive'}]"
383,"Wir haben mehrmalls die Bedienung um Bestellung gebitten, Allerdings haben diese nicht einmal reagiert.","[{'term': 'Bedienung', 'polarity': 'negative'}]"
388,"Bedienung sehr freundlich und flink, Ambiente sehr münchnerisch, gemütlich mit schönem Blick auf den LOC.","[{'term': 'Bedienung', 'polarity': 'positive'}, {'term': 'Ambiente', 'polarity': 'positive'}, {'term': 'Blick auf den LOC', 'polarity': 'positive'}]"
390,Die Qualität hat nachgelassen.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
400,Wir fühlten uns sehr gestört und unwohl.,"[{'term': 'noaspectterm', 'polarity': 'negative'}]"
405,Gerne beim nächsten Besuch in LOC wieder.,"[{'term': 'noaspectterm', 'polarity': 'positive'}]"
416,Ein sehr gemütliches italienisches Restaurant mit Flair und fleißigem Personal.,"[{'term': 'Restaurant', 'polarity': 'positive'}, {'term': 'Personal', 'polarity': 'positive'}]"
